id_oferta|fecha_registro|vendidos
11539|28-03-2015 00:00:00|137 
11919|28-03-2015 00:00:00|8 
11922|28-03-2015 00:00:00|7 
11878|28-03-2015 00:00:00|80 
11895|28-03-2015 00:00:00|37 
12020|28-03-2015 00:00:00|18 
12012|28-03-2015 00:00:00|15 
11914|28-03-2015 00:00:00|13 
11474|28-03-2015 00:00:00|226 
11845|28-03-2015 00:00:00|14 
11849|28-03-2015 00:00:00|31 
11642|28-03-2015 00:00:00|38 
11981|28-03-2015 00:00:00|11 
11896|28-03-2015 00:00:00|43 
11989|28-03-2015 00:00:00|11 
11375|28-03-2015 00:00:00|159 
11746|28-03-2015 00:00:00|30 
11344|28-03-2015 00:00:00|20 
11711|28-03-2015 00:00:00|15 
11374|28-03-2015 00:00:00|179 
11707|28-03-2015 00:00:00|24 
11345|28-03-2015 00:00:00|30 
11616|28-03-2015 00:00:00|28 
11293|28-03-2015 00:00:00|44 
11663|28-03-2015 00:00:00|22 
