id_oferta|fecha_registro|vendidos
12062|30-03-2015 14:00:00|33 
12134|30-03-2015 14:00:00|18 
12035|30-03-2015 14:00:00|14 
11924|30-03-2015 14:00:00|15 
12014|30-03-2015 14:00:00|12 
11900|30-03-2015 14:00:00|12 
12068|30-03-2015 14:00:00|10 
12019|30-03-2015 14:00:00|9 
11928|30-03-2015 14:00:00|12 
11916|30-03-2015 14:00:00|17 
11893|30-03-2015 14:00:00|8 
11940|30-03-2015 14:00:00|12 
12023|30-03-2015 14:00:00|11 
12067|30-03-2015 14:00:00|10 
12039|30-03-2015 14:00:00|11 
12026|30-03-2015 14:00:00|7 
12060|30-03-2015 14:00:00|9 
12049|30-03-2015 14:00:00|17 
11896|30-03-2015 14:00:00|49 
11919|30-03-2015 14:00:00|8 
11922|30-03-2015 14:00:00|9 
11878|30-03-2015 14:00:00|86 
12020|30-03-2015 14:00:00|20 
11914|30-03-2015 14:00:00|17 
11845|30-03-2015 14:00:00|15 
11849|30-03-2015 14:00:00|31 
11981|30-03-2015 14:00:00|11 
11989|30-03-2015 14:00:00|11 
11344|30-03-2015 14:00:00|20 
11711|30-03-2015 14:00:00|15 
11707|30-03-2015 14:00:00|27 
11345|30-03-2015 14:00:00|30 
11616|30-03-2015 14:00:00|29 
11293|30-03-2015 14:00:00|44 
11663|30-03-2015 14:00:00|22 
