id_oferta|fecha_registro|vendidos
11894|22-03-2015 22:00:00|45 
11642|22-03-2015 22:00:00|34 
11849|22-03-2015 22:00:00|27 
11878|22-03-2015 22:00:00|54 
11699|22-03-2015 22:00:00|47 
11744|22-03-2015 22:00:00|211 
11209|22-03-2015 22:00:00|63 
11375|22-03-2015 22:00:00|142 
11702|22-03-2015 22:00:00|35 
11746|22-03-2015 22:00:00|23 
11195|22-03-2015 22:00:00|209 
11344|22-03-2015 22:00:00|19 
11707|22-03-2015 22:00:00|22 
11345|22-03-2015 22:00:00|28 
11681|22-03-2015 22:00:00|36 
11539|22-03-2015 22:00:00|117 
11249|22-03-2015 22:00:00|56 
11504|22-03-2015 22:00:00|50 
11682|22-03-2015 22:00:00|137 
11382|22-03-2015 22:00:00|119 
11262|22-03-2015 22:00:00|28 
11443|22-03-2015 22:00:00|56 
