id_oferta|fecha_registro|vendidos
11663|13-03-2015 16:00:00|9 
11711|13-03-2015 16:00:00|11 
11699|13-03-2015 16:00:00|25 
11745|13-03-2015 16:00:00|33 
11746|13-03-2015 16:00:00|19 
11129|13-03-2015 16:00:00|18 
11398|13-03-2015 16:00:00|115 
11669|13-03-2015 16:00:00|92 
11702|13-03-2015 16:00:00|33 
11744|13-03-2015 16:00:00|122 
11616|13-03-2015 16:00:00|20 
11195|13-03-2015 16:00:00|192 
11073|13-03-2015 16:00:00|40 
11344|13-03-2015 16:00:00|18 
11127|13-03-2015 16:00:00|69 
11707|13-03-2015 16:00:00|18 
11209|13-03-2015 16:00:00|60 
11667|13-03-2015 16:00:00|14 
11345|13-03-2015 16:00:00|25 
11210|13-03-2015 16:00:00|199 
11642|13-03-2015 16:00:00|26 
11681|13-03-2015 16:00:00|33 
11375|13-03-2015 16:00:00|106 
11556|13-03-2015 16:00:00|27 
11539|13-03-2015 16:00:00|106 
11474|13-03-2015 16:00:00|188 
11401|13-03-2015 16:00:00|145 
11463|13-03-2015 16:00:00|51 
11293|13-03-2015 16:00:00|42 
11249|13-03-2015 16:00:00|54 
11504|13-03-2015 16:00:00|47 
11682|13-03-2015 16:00:00|122 
11382|13-03-2015 16:00:00|91 
11161|13-03-2015 16:00:00|8 
11262|13-03-2015 16:00:00|25 
11443|13-03-2015 16:00:00|53 
11484|13-03-2015 16:00:00|49 
11149|13-03-2015 16:00:00|16 
11374|13-03-2015 16:00:00|144 
