id_oferta|fecha_registro|vendidos
11663|06-04-2015 18:00:00|28 
11293|06-04-2015 18:00:00|44 
11746|06-04-2015 18:00:00|31 
11873|06-04-2015 18:00:00|11 
11924|06-04-2015 18:00:00|101 
12035|06-04-2015 18:00:00|88 
11878|06-04-2015 18:00:00|98 
11744|06-04-2015 18:00:00|273 
12134|06-04-2015 18:00:00|63 
11895|06-04-2015 18:00:00|40 
11374|06-04-2015 18:00:00|187 
12012|06-04-2015 18:00:00|21 
11918|06-04-2015 18:00:00|18 
12097|06-04-2015 18:00:00|20 
11894|06-04-2015 18:00:00|138 
12019|06-04-2015 18:00:00|19 
12028|06-04-2015 18:00:00|27 
11989|06-04-2015 18:00:00|12 
12021|06-04-2015 18:00:00|27 
12026|06-04-2015 18:00:00|13 
11896|06-04-2015 18:00:00|59 
11919|06-04-2015 18:00:00|8 
11922|06-04-2015 18:00:00|10 
11642|06-04-2015 18:00:00|39 
12020|06-04-2015 18:00:00|34 
11914|06-04-2015 18:00:00|21 
11845|06-04-2015 18:00:00|16 
11981|06-04-2015 18:00:00|11 
11711|06-04-2015 18:00:00|15 
11707|06-04-2015 18:00:00|31 
11616|06-04-2015 18:00:00|35 
