id_oferta|fecha_registro|vendidos
11981|25-03-2015 16:00:00|7 
12020|25-03-2015 16:00:00|9 
11914|25-03-2015 16:00:00|10 
11894|25-03-2015 16:00:00|114 
11744|25-03-2015 16:00:00|246 
11895|25-03-2015 16:00:00|28 
12012|25-03-2015 16:00:00|4 
11845|25-03-2015 16:00:00|14 
11849|25-03-2015 16:00:00|29 
11878|25-03-2015 16:00:00|70 
11642|25-03-2015 16:00:00|37 
11896|25-03-2015 16:00:00|18 
11989|25-03-2015 16:00:00|7 
11699|25-03-2015 16:00:00|52 
11375|25-03-2015 16:00:00|151 
11702|25-03-2015 16:00:00|38 
11746|25-03-2015 16:00:00|26 
11344|25-03-2015 16:00:00|20 
11711|25-03-2015 16:00:00|15 
11484|25-03-2015 16:00:00|66 
11374|25-03-2015 16:00:00|167 
11474|25-03-2015 16:00:00|212 
11707|25-03-2015 16:00:00|23 
11345|25-03-2015 16:00:00|28 
11616|25-03-2015 16:00:00|25 
11293|25-03-2015 16:00:00|43 
11663|25-03-2015 16:00:00|19 
11681|25-03-2015 16:00:00|36 
11539|25-03-2015 16:00:00|130 
11504|25-03-2015 16:00:00|52 
11682|25-03-2015 16:00:00|144 
11382|25-03-2015 16:00:00|132 
11262|25-03-2015 16:00:00|31 
