id_oferta|fecha_registro|vendidos
12062|30-03-2015 12:00:00|26 
12035|30-03-2015 12:00:00|13 
12014|30-03-2015 12:00:00|9 
12134|30-03-2015 12:00:00|17 
11900|30-03-2015 12:00:00|11 
11924|30-03-2015 12:00:00|14 
12068|30-03-2015 12:00:00|10 
12019|30-03-2015 12:00:00|9 
11928|30-03-2015 12:00:00|10 
11916|30-03-2015 12:00:00|7 
11893|30-03-2015 12:00:00|8 
11940|30-03-2015 12:00:00|12 
12023|30-03-2015 12:00:00|7 
12067|30-03-2015 12:00:00|8 
12039|30-03-2015 12:00:00|11 
12026|30-03-2015 12:00:00|7 
12060|30-03-2015 12:00:00|7 
12049|30-03-2015 12:00:00|16 
11896|30-03-2015 12:00:00|49 
11919|30-03-2015 12:00:00|8 
11922|30-03-2015 12:00:00|9 
