id_oferta|fecha_registro|vendidos
11981|25-03-2015 12:00:00|7 
12020|25-03-2015 12:00:00|8 
11914|25-03-2015 12:00:00|8 
11894|25-03-2015 12:00:00|106 
11744|25-03-2015 12:00:00|245 
11895|25-03-2015 12:00:00|22 
12012|25-03-2015 12:00:00|4 
11845|25-03-2015 12:00:00|14 
11849|25-03-2015 12:00:00|29 
11878|25-03-2015 12:00:00|67 
11642|25-03-2015 12:00:00|36 
11896|25-03-2015 12:00:00|13 
11989|25-03-2015 12:00:00|7 
11699|25-03-2015 12:00:00|51 
11375|25-03-2015 12:00:00|151 
11702|25-03-2015 12:00:00|38 
11746|25-03-2015 12:00:00|25 
11344|25-03-2015 12:00:00|19 
11711|25-03-2015 12:00:00|15 
11484|25-03-2015 12:00:00|65 
11374|25-03-2015 12:00:00|165 
11474|25-03-2015 12:00:00|210 
11707|25-03-2015 12:00:00|23 
11345|25-03-2015 12:00:00|28 
11616|25-03-2015 12:00:00|25 
11293|25-03-2015 12:00:00|43 
11663|25-03-2015 12:00:00|19 
11681|25-03-2015 12:00:00|36 
11539|25-03-2015 12:00:00|125 
11504|25-03-2015 12:00:00|52 
11682|25-03-2015 12:00:00|144 
11382|25-03-2015 12:00:00|125 
11262|25-03-2015 12:00:00|30 
