id_oferta|fecha_registro|vendidos
11663|06-04-2015 16:00:00|28 
11293|06-04-2015 16:00:00|44 
11746|06-04-2015 16:00:00|30 
11873|06-04-2015 16:00:00|10 
11924|06-04-2015 16:00:00|101 
12035|06-04-2015 16:00:00|85 
11878|06-04-2015 16:00:00|97 
11744|06-04-2015 16:00:00|272 
12134|06-04-2015 16:00:00|61 
11895|06-04-2015 16:00:00|40 
11374|06-04-2015 16:00:00|185 
12012|06-04-2015 16:00:00|21 
11918|06-04-2015 16:00:00|18 
12097|06-04-2015 16:00:00|20 
11894|06-04-2015 16:00:00|138 
12019|06-04-2015 16:00:00|18 
12028|06-04-2015 16:00:00|23 
11989|06-04-2015 16:00:00|12 
12021|06-04-2015 16:00:00|22 
12026|06-04-2015 16:00:00|12 
11896|06-04-2015 16:00:00|59 
11919|06-04-2015 16:00:00|8 
11922|06-04-2015 16:00:00|10 
11642|06-04-2015 16:00:00|39 
12020|06-04-2015 16:00:00|34 
11914|06-04-2015 16:00:00|21 
11845|06-04-2015 16:00:00|16 
11981|06-04-2015 16:00:00|11 
11711|06-04-2015 16:00:00|15 
11707|06-04-2015 16:00:00|30 
11616|06-04-2015 16:00:00|34 
