id_oferta|fecha_registro|vendidos
11699|12-03-2015 18:00:00|21 
11745|12-03-2015 18:00:00|25 
11027|12-03-2015 18:00:00|103 
11746|12-03-2015 18:00:00|13 
11129|12-03-2015 18:00:00|18 
11398|12-03-2015 18:00:00|109 
11669|12-03-2015 18:00:00|92 
11702|12-03-2015 18:00:00|27 
11744|12-03-2015 18:00:00|108 
11616|12-03-2015 18:00:00|18 
11195|12-03-2015 18:00:00|183 
11073|12-03-2015 18:00:00|40 
11344|12-03-2015 18:00:00|18 
11127|12-03-2015 18:00:00|69 
11707|12-03-2015 18:00:00|13 
11209|12-03-2015 18:00:00|58 
11667|12-03-2015 18:00:00|14 
11345|12-03-2015 18:00:00|25 
11210|12-03-2015 18:00:00|196 
11642|12-03-2015 18:00:00|23 
11681|12-03-2015 18:00:00|33 
11375|12-03-2015 18:00:00|102 
11556|12-03-2015 18:00:00|27 
11539|12-03-2015 18:00:00|106 
11474|12-03-2015 18:00:00|182 
11401|12-03-2015 18:00:00|144 
11463|12-03-2015 18:00:00|50 
11293|12-03-2015 18:00:00|42 
11249|12-03-2015 18:00:00|54 
11504|12-03-2015 18:00:00|47 
11682|12-03-2015 18:00:00|110 
11382|12-03-2015 18:00:00|91 
11161|12-03-2015 18:00:00|8 
11262|12-03-2015 18:00:00|24 
11443|12-03-2015 18:00:00|53 
11484|12-03-2015 18:00:00|47 
11149|12-03-2015 18:00:00|16 
11374|12-03-2015 18:00:00|143 
