id_oferta|fecha_registro|vendidos
11981|25-03-2015 00:00:00|7 
12012|25-03-2015 00:00:00|4 
12020|25-03-2015 00:00:00|6 
11914|25-03-2015 00:00:00|6 
11896|25-03-2015 00:00:00|8 
11895|25-03-2015 00:00:00|20 
11989|25-03-2015 00:00:00|7 
11845|25-03-2015 00:00:00|13 
11894|25-03-2015 00:00:00|103 
11642|25-03-2015 00:00:00|36 
11849|25-03-2015 00:00:00|29 
11878|25-03-2015 00:00:00|65 
11699|25-03-2015 00:00:00|51 
11744|25-03-2015 00:00:00|243 
11375|25-03-2015 00:00:00|151 
11702|25-03-2015 00:00:00|37 
11746|25-03-2015 00:00:00|25 
11344|25-03-2015 00:00:00|19 
11711|25-03-2015 00:00:00|15 
11484|25-03-2015 00:00:00|64 
11374|25-03-2015 00:00:00|163 
11474|25-03-2015 00:00:00|209 
11707|25-03-2015 00:00:00|23 
11345|25-03-2015 00:00:00|28 
11616|25-03-2015 00:00:00|25 
11293|25-03-2015 00:00:00|43 
11663|25-03-2015 00:00:00|19 
11681|25-03-2015 00:00:00|36 
11539|25-03-2015 00:00:00|123 
11504|25-03-2015 00:00:00|52 
11682|25-03-2015 00:00:00|142 
11382|25-03-2015 00:00:00|125 
11262|25-03-2015 00:00:00|30 
