id_oferta|fecha_registro|vendidos
12062|01-04-2015 04:00:00|60 
11924|01-04-2015 04:00:00|64 
12068|01-04-2015 04:00:00|18 
12039|01-04-2015 04:00:00|30 
12014|01-04-2015 04:00:00|41 
11940|01-04-2015 04:00:00|17 
12019|01-04-2015 04:00:00|16 
12035|01-04-2015 04:00:00|42 
12031|01-04-2015 04:00:00|10 
11916|01-04-2015 04:00:00|39 
12132|01-04-2015 04:00:00|9 
12097|01-04-2015 04:00:00|14 
12033|01-04-2015 04:00:00|7 
12028|01-04-2015 04:00:00|16 
12134|01-04-2015 04:00:00|32 
12021|01-04-2015 04:00:00|19 
11900|01-04-2015 04:00:00|23 
12128|01-04-2015 04:00:00|8 
12075|01-04-2015 04:00:00|11 
11928|01-04-2015 04:00:00|16 
11893|01-04-2015 04:00:00|8 
12029|01-04-2015 04:00:00|17 
12023|01-04-2015 04:00:00|11 
12067|01-04-2015 04:00:00|16 
12026|01-04-2015 04:00:00|8 
12060|01-04-2015 04:00:00|14 
12049|01-04-2015 04:00:00|46 
11878|01-04-2015 04:00:00|93 
11896|01-04-2015 04:00:00|52 
11919|01-04-2015 04:00:00|8 
11922|01-04-2015 04:00:00|10 
12020|01-04-2015 04:00:00|25 
11914|01-04-2015 04:00:00|18 
11845|01-04-2015 04:00:00|15 
11849|01-04-2015 04:00:00|32 
11981|01-04-2015 04:00:00|11 
11989|01-04-2015 04:00:00|11 
11711|01-04-2015 04:00:00|15 
11707|01-04-2015 04:00:00|28 
11616|01-04-2015 04:00:00|29 
11293|01-04-2015 04:00:00|44 
11663|01-04-2015 04:00:00|24 
