id_oferta|fecha_registro|vendidos
12028|31-03-2015 10:00:00|13 
12097|31-03-2015 10:00:00|9 
11924|31-03-2015 10:00:00|29 
12132|31-03-2015 10:00:00|9 
12031|31-03-2015 10:00:00|8 
12033|31-03-2015 10:00:00|7 
12035|31-03-2015 10:00:00|21 
12062|31-03-2015 10:00:00|48 
12134|31-03-2015 10:00:00|21 
12014|31-03-2015 10:00:00|28 
12068|31-03-2015 10:00:00|14 
12030|31-03-2015 10:00:00|8 
12021|31-03-2015 10:00:00|12 
11900|31-03-2015 10:00:00|17 
12019|31-03-2015 10:00:00|14 
12128|31-03-2015 10:00:00|8 
12075|31-03-2015 10:00:00|8 
11928|31-03-2015 10:00:00|13 
11916|31-03-2015 10:00:00|23 
11893|31-03-2015 10:00:00|8 
12029|31-03-2015 10:00:00|12 
11940|31-03-2015 10:00:00|16 
12023|31-03-2015 10:00:00|11 
12067|31-03-2015 10:00:00|11 
12039|31-03-2015 10:00:00|27 
12026|31-03-2015 10:00:00|7 
12060|31-03-2015 10:00:00|9 
12049|31-03-2015 10:00:00|29 
11896|31-03-2015 10:00:00|51 
11919|31-03-2015 10:00:00|8 
11922|31-03-2015 10:00:00|9 
11878|31-03-2015 10:00:00|91 
12020|31-03-2015 10:00:00|25 
11914|31-03-2015 10:00:00|18 
11845|31-03-2015 10:00:00|15 
11849|31-03-2015 10:00:00|32 
11981|31-03-2015 10:00:00|11 
11989|31-03-2015 10:00:00|11 
11711|31-03-2015 10:00:00|15 
11707|31-03-2015 10:00:00|28 
11616|31-03-2015 10:00:00|29 
11293|31-03-2015 10:00:00|44 
11663|31-03-2015 10:00:00|24 
