id_oferta|fecha_registro|vendidos
11699|10-03-2015 18:00:00|14 
11745|10-03-2015 18:00:00|8 
11744|10-03-2015 18:00:00|79 
11642|10-03-2015 18:00:00|20 
11702|10-03-2015 18:00:00|22 
11667|10-03-2015 18:00:00|13 
11129|10-03-2015 18:00:00|18 
11669|10-03-2015 18:00:00|92 
11614|10-03-2015 18:00:00|19 
11616|10-03-2015 18:00:00|16 
11195|10-03-2015 18:00:00|171 
11073|10-03-2015 18:00:00|38 
11344|10-03-2015 18:00:00|18 
11127|10-03-2015 18:00:00|69 
11345|10-03-2015 18:00:00|25 
11209|10-03-2015 18:00:00|55 
11210|10-03-2015 18:00:00|187 
11027|10-03-2015 18:00:00|103 
11556|10-03-2015 18:00:00|26 
11681|10-03-2015 18:00:00|33 
11539|10-03-2015 18:00:00|101 
11474|10-03-2015 18:00:00|171 
11401|10-03-2015 18:00:00|143 
11463|10-03-2015 18:00:00|49 
11293|10-03-2015 18:00:00|42 
11249|10-03-2015 18:00:00|50 
11504|10-03-2015 18:00:00|46 
11682|10-03-2015 18:00:00|108 
11161|10-03-2015 18:00:00|8 
11262|10-03-2015 18:00:00|23 
11443|10-03-2015 18:00:00|52 
11484|10-03-2015 18:00:00|40 
11149|10-03-2015 18:00:00|16 
11309|10-03-2015 18:00:00|59 
11375|10-03-2015 18:00:00|96 
11398|10-03-2015 18:00:00|103 
11374|10-03-2015 18:00:00|139 
11382|10-03-2015 18:00:00|91 
