id_oferta|id_tipo
12266|153
12047|153
12190|153
12039|153
11889|153
12028|153
12053|154
12097|154
12028|154
12134|154
11707|154
11914|154
11922|154
11894|155
12019|155
12068|155
12021|155
11616|155
12047|156
11919|156
11873|156
11707|156
12019|157
11895|157
12097|157
11663|157
12012|157
12026|157
11989|157
11981|157
12267|158
12190|158
12186|158
12012|158
12020|158
12190|159
11895|159
11922|159
12123|160
11896|160
12053|160
11845|160
11895|162
11924|163
11878|164
12266|166
12039|166
12019|166
11896|166
12068|166
