id_oferta|fecha_registro|vendidos
12068|05-04-2015 12:00:00|24 
12039|05-04-2015 12:00:00|43 
11924|05-04-2015 12:00:00|95 
12062|05-04-2015 12:00:00|77 
11940|05-04-2015 12:00:00|21 
12014|05-04-2015 12:00:00|68 
12035|05-04-2015 12:00:00|76 
12097|05-04-2015 12:00:00|20 
11918|05-04-2015 12:00:00|16 
12019|05-04-2015 12:00:00|18 
12134|05-04-2015 12:00:00|61 
11928|05-04-2015 12:00:00|20 
12031|05-04-2015 12:00:00|10 
12132|05-04-2015 12:00:00|10 
12033|05-04-2015 12:00:00|8 
12028|05-04-2015 12:00:00|17 
12021|05-04-2015 12:00:00|22 
11900|05-04-2015 12:00:00|28 
12128|05-04-2015 12:00:00|13 
12075|05-04-2015 12:00:00|29 
11878|05-04-2015 12:00:00|97 
11893|05-04-2015 12:00:00|9 
12029|05-04-2015 12:00:00|29 
12023|05-04-2015 12:00:00|11 
12067|05-04-2015 12:00:00|33 
12026|05-04-2015 12:00:00|10 
12060|05-04-2015 12:00:00|16 
12049|05-04-2015 12:00:00|66 
11896|05-04-2015 12:00:00|57 
11919|05-04-2015 12:00:00|8 
11922|05-04-2015 12:00:00|10 
12020|05-04-2015 12:00:00|33 
11914|05-04-2015 12:00:00|20 
11845|05-04-2015 12:00:00|15 
11981|05-04-2015 12:00:00|11 
11989|05-04-2015 12:00:00|11 
11711|05-04-2015 12:00:00|15 
11707|05-04-2015 12:00:00|29 
11616|05-04-2015 12:00:00|33 
11293|05-04-2015 12:00:00|44 
11663|05-04-2015 12:00:00|24 
