id_oferta|fecha_registro|vendidos
11849|21-03-2015 12:00:00|24 
11878|21-03-2015 12:00:00|47 
11699|21-03-2015 12:00:00|47 
11744|21-03-2015 12:00:00|199 
11894|21-03-2015 12:00:00|39 
11375|21-03-2015 12:00:00|137 
11702|21-03-2015 12:00:00|35 
11746|21-03-2015 12:00:00|23 
11195|21-03-2015 12:00:00|209 
11344|21-03-2015 12:00:00|19 
11707|21-03-2015 12:00:00|22 
11209|21-03-2015 12:00:00|63 
11667|21-03-2015 12:00:00|19 
11345|21-03-2015 12:00:00|28 
11642|21-03-2015 12:00:00|34 
11681|21-03-2015 12:00:00|36 
11539|21-03-2015 12:00:00|116 
11249|21-03-2015 12:00:00|56 
11504|21-03-2015 12:00:00|50 
11682|21-03-2015 12:00:00|137 
11382|21-03-2015 12:00:00|117 
11262|21-03-2015 12:00:00|28 
11443|21-03-2015 12:00:00|56 
