id_oferta|fecha_registro|vendidos
11699|12-03-2015 10:00:00|19 
11745|12-03-2015 10:00:00|25 
11667|12-03-2015 10:00:00|14 
11129|12-03-2015 10:00:00|18 
11616|12-03-2015 10:00:00|18 
11195|12-03-2015 10:00:00|173 
11073|12-03-2015 10:00:00|40 
11344|12-03-2015 10:00:00|18 
11127|12-03-2015 10:00:00|69 
11707|12-03-2015 10:00:00|9 
11398|12-03-2015 10:00:00|108 
11345|12-03-2015 10:00:00|25 
11209|12-03-2015 10:00:00|56 
11210|12-03-2015 10:00:00|191 
11669|12-03-2015 10:00:00|92 
11702|12-03-2015 10:00:00|26 
11027|12-03-2015 10:00:00|103 
11642|12-03-2015 10:00:00|22 
11614|12-03-2015 10:00:00|21 
11375|12-03-2015 10:00:00|98 
11744|12-03-2015 10:00:00|92 
11556|12-03-2015 10:00:00|26 
11681|12-03-2015 10:00:00|33 
11539|12-03-2015 10:00:00|105 
11474|12-03-2015 10:00:00|179 
11401|12-03-2015 10:00:00|144 
11463|12-03-2015 10:00:00|49 
11293|12-03-2015 10:00:00|42 
11249|12-03-2015 10:00:00|52 
11504|12-03-2015 10:00:00|46 
11682|12-03-2015 10:00:00|114 
11161|12-03-2015 10:00:00|8 
11262|12-03-2015 10:00:00|24 
11443|12-03-2015 10:00:00|53 
11484|12-03-2015 10:00:00|47 
11149|12-03-2015 10:00:00|16 
11309|12-03-2015 10:00:00|61 
11374|12-03-2015 10:00:00|143 
11382|12-03-2015 10:00:00|91 
